# temperature = 270 K
# h0 = 2 km
# humidity = 20
# pressure = 560 mbar
# atmType = 1
# altitude = 5000 m
             0.500000000 1.000000000 2.000000000 3.000000000 4.000000000 5.000000000
19.800000000 0.994140431 0.993060505 0.990904170 0.988752517 0.986605537 0.984463218
19.900000000 0.994045480 0.992893855 0.990594607 0.988300684 0.986012072 0.983728761
20.000000000 0.993943686 0.992713766 0.990258488 0.987809283 0.985366135 0.982929030
20.100000000 0.993834342 0.992518831 0.989893031 0.987274178 0.984662253 0.982057238
20.200000000 0.993716782 0.992307625 0.989495303 0.986690952 0.983894549 0.981106071
20.300000000 0.993590042 0.992078354 0.989061875 0.986054568 0.983056404 0.980067357
20.400000000 0.993453233 0.991829235 0.988589198 0.985359746 0.982140844 0.978932457
20.500000000 0.993305398 0.991558358 0.988073491 0.984600871 0.981140456 0.977692202
20.600000000 0.993145530 0.991263719 0.987510788 0.983772065 0.980047497 0.976337031
20.700000000 0.992972595 0.990943266 0.986897042 0.982867340 0.978854091 0.974857230
20.800000000 0.992785568 0.990594967 0.986228257 0.981880796 0.977552499 0.973243282
20.900000000 0.992583480 0.990216915 0.985500699 0.980806945 0.976135546 0.971486396
21.000000000 0.992365486 0.989807463 0.984711180 0.979641137 0.974597198 0.969579230
21.100000000 0.992130923 0.989365392 0.983857435 0.978380141 0.972933340 0.967516863
21.200000000 0.991880071 0.988890808 0.982939281 0.977023573 0.971143467 0.965298751
21.300000000 0.991612783 0.988383956 0.981957806 0.975573438 0.969230578 0.962928958
21.400000000 0.991330357 0.987847316 0.980917903 0.974037099 0.967204560 0.960419950
21.500000000 0.991035058 0.987285415 0.979828636 0.972428177 0.965083613 0.957794520
21.600000000 0.990730567 0.986705604 0.978704668 0.970768609 0.962896902 0.955089024
21.700000000 0.990422371 0.986118832 0.977567771 0.969090860 0.960687456 0.952356922
21.800000000 0.990118225 0.985540522 0.976448512 0.967440380 0.958515351 0.949672659
21.900000000 0.989828523 0.984991389 0.975387919 0.965878082 0.956460963 0.947135659
22.000000000 0.989566875 0.984498467 0.974439396 0.964483104 0.954628540 0.944874664
22.100000000 0.989350355 0.984095716 0.973670015 0.963354766 0.953148798 0.943050954
22.200000000 0.989199378 0.983823693 0.973159805 0.962611505 0.952177541 0.941856673
22.300000000 0.989136650 0.983727442 0.972997607 0.962384806 0.951887762 0.941505212
22.400000000 0.989158711 0.983800140 0.973169927 0.962654576 0.952252846 0.941963509
22.500000000 0.989246193 0.984003294 0.973600709 0.963308097 0.953124295 0.943048154
22.600000000 0.989381762 0.984302466 0.974221968 0.964244707 0.954369625 0.944595677
22.700000000 0.989550482 0.984667992 0.974975165 0.965377751 0.955874812 0.946465418
22.800000000 0.989740041 0.985075436 0.975812076 0.966635825 0.957545866 0.948541385
22.900000000 0.989940473 0.985505121 0.976693944 0.967961546 0.959307223 0.950730276
23.000000000 0.990144527 0.985942226 0.977591054 0.969310619 0.961100320 0.952959565
23.100000000 0.990345993 0.986374839 0.978480238 0.970648823 0.962880087 0.955173530
